date	time	milli	price	qty	turnover	cumOpenint	yp	bid	bid.qty	ask	ask.qty	cum.qty	cum.turnover
20210421	21:01:27	0	13870	10	1387300.0	223102	13910	13870	46	13875	40	8031	1113495450
20210421	21:01:27	500	13870	11	1525700.0	223094	13910	13870	37	13875	40	8042	1115021150
20210421	21:01:28	0	13870	0	0.0	223094	13910	13870	41	13875	55	8042	1115021150
20210421	21:01:28	500	13870	12	1664950.0	223093	13910	13870	47	13875	47	8054	1116686100
20210421	21:01:29	0	13875	34	4715950.0	223091	13910	13870	21	13875	51	8088	1121402050
20210421	21:01:29	500	13875	10	1387200.0	223092	13910	13870	33	13875	56	8098	1122789250
20210421	21:01:30	0	13870	12	1664500.0	223084	13910	13870	36	13875	60	8110	1124453750
20210421	21:01:30	500	13870	6	832400.0	223082	13910	13870	34	13875	64	8116	1125286150
20210421	21:01:31	0	13875	16	2219950.0	223070	13910	13870	38	13875	50	8132	1127506100
20210421	21:01:31	500	13870	4	554850.0	223071	13910	13870	48	13875	50	8136	1128060950
20210421	21:01:32	0	13875	2	277500.0	223069	13910	13870	59	13875	48	8138	1128338450
20210421	21:01:32	500	13875	3	416250.0	223067	13910	13870	65	13875	46	8141	1128754700
20210421	21:01:33	0	13875	33	4578200.0	223051	13910	13870	67	13875	36	8174	1133332900
20210421	21:01:33	500	13875	7	971000.0	223046	13910	13870	64	13875	45	8181	1134303900
20210421	21:01:34	0	13870	15	2080500.0	223033	13910	13870	49	13875	47	8196	1136384400
20210421	21:01:34	500	13870	1	138700.0	223033	13910	13870	60	13875	62	8197	1136523100
20210421	21:01:35	0	13875	2	277500.0	223032	13910	13870	62	13875	62	8199	1136800600
20210421	21:01:35	500	13875	1	138750.0	223031	13910	13870	68	13875	62	8200	1136939350
20210421	21:01:36	0	13870	12	1664650.0	223034	13910	13870	62	13875	59	8212	1138604000
20210421	21:01:36	500	13870	0	0.0	223034	13910	13870	62	13875	62	8212	1138604000
20210421	21:01:37	0	13875	3	416150.0	223034	13910	13870	65	13875	67	8215	1139020150
20210421	21:01:37	500	13870	15	2080500.0	223037	13910	13870	52	13875	74	8230	1141100650
20210421	21:01:38	0	13875	7	971150.0	223038	13910	13870	45	13875	72	8237	1142071800
20210421	21:01:38	500	13875	4	555000.0	223038	13910	13870	47	13875	71	8241	1142626800
20210421	21:01:39	0	13870	2	277450.0	223038	13910	13870	48	13875	71	8243	1142904250
20210421	21:01:39	500	13870	0	0.0	223038	13910	13870	69	13875	71	8243	1142904250
20210421	21:01:40	0	13870	52	7214700.0	223032	13910	13870	66	13875	31	8295	1150118950
20210421	21:01:40	500	13875	35	4856250.0	223038	13910	13875	13	13880	124	8330	1154975200
20210421	21:01:41	0	13875	42	5826450.0	223062	13910	13870	62	13875	4	8372	1160801650
20210421	21:01:41	500	13875	44	6105000.0	223075	13910	13870	69	13875	22	8416	1166906650
20210421	21:01:42	0	13875	0	0.0	223075	13910	13870	70	13875	48	8416	1166906650
20210421	21:01:42	500	13875	1	138750.0	223075	13910	13870	74	13875	50	8417	1167045400
20210421	21:01:43	0	13875	6	832500.0	223070	13910	13870	70	13875	46	8423	1167877900
20210421	21:01:43	500	13875	46	6382500.0	223086	13910	13870	70	13880	123	8469	1174260400
20210421	21:01:44	0	13875	3	416250.0	223084	13910	13875	30	13880	123	8472	1174676650
20210421	21:01:44	500	13875	42	5827500.0	223097	13910	13870	77	13875	3	8514	1180504150
20210421	21:01:45	0	13875	23	3191250.0	223106	13910	13870	77	13875	21	8537	1183695400
20210421	21:01:45	500	13875	0	0.0	223106	13910	13870	64	13875	35	8537	1183695400
20210421	21:01:46	0	13875	0	0.0	223106	13910	13870	66	13875	36	8537	1183695400
20210421	21:01:46	500	13875	21	2913150.0	223104	13910	13870	59	13875	26	8558	1186608550
20210421	21:01:47	0	13870	3	416150.0	223102	13910	13870	62	13875	26	8561	1187024700
